feature,mean_abs_shap,class,rank
Video_Swin_Fused_364,0.0,Control,672
Video_Swin_Fused_353,0.0,Control,673
Video_Swin_Fused_218,0.0,Control,674
Video_Swin_Fused_219,0.0,Control,675
Video_Swin_Fused_220,0.0,Control,676
Video_Swin_Fused_221,0.0,Control,677
Video_Swin_Fused_222,0.0,Control,678
Video_Swin_Fused_223,0.0,Control,679
Video_Swin_Fused_224,0.0,Control,680
Video_Swin_Fused_225,0.0,Control,681
Video_Swin_Fused_227,0.0,Control,682
Video_Swin_Fused_228,0.0,Control,683
Video_Swin_Fused_293,0.0,Control,684
Video_Swin_Fused_230,0.0,Control,685
Video_Swin_Fused_231,0.0,Control,686
Video_Swin_Fused_232,0.0,Control,687
Video_Swin_Fused_233,0.0,Control,688
Video_Swin_Fused_234,0.0,Control,689
Video_Swin_Fused_235,0.0,Control,690
Video_Swin_Fused_236,0.0,Control,691
Video_Swin_Fused_237,0.0,Control,692
Video_Swin_Fused_238,0.0,Control,693
Video_Swin_Fused_239,0.0,Control,694
Video_Swin_Fused_240,0.0,Control,695
Video_Swin_Fused_229,0.0,Control,696
Video_Swin_Fused_193,0.0,Control,697
Video_Swin_Fused_194,0.0,Control,698
Video_Swin_Fused_195,0.0,Control,699
Video_Swin_Fused_196,0.0,Control,700
