feature,mean_abs_shap,class,rank
Video_Swin_Fused_048,0.0,Parkinsons,555
Video_Swin_Fused_049,0.0,Parkinsons,556
Video_Swin_Fused_050,0.0,Parkinsons,557
Video_Swin_Fused_052,0.0,Parkinsons,558
Video_Swin_Fused_053,0.0,Parkinsons,559
Video_Swin_Fused_054,0.0,Parkinsons,560
Video_Swin_Fused_055,0.0,Parkinsons,561
Video_Swin_Fused_056,0.0,Parkinsons,562
Video_Swin_Fused_057,0.0,Parkinsons,563
Video_Swin_Fused_058,0.0,Parkinsons,564
Video_Swin_Fused_059,0.0,Parkinsons,565
Video_Swin_Fused_072,0.0,Parkinsons,566
Video_Swin_Fused_061,0.0,Parkinsons,567
Video_Swin_Fused_062,0.0,Parkinsons,568
Video_Swin_Fused_063,0.0,Parkinsons,569
Video_Swin_Fused_064,0.0,Parkinsons,570
Video_Swin_Fused_065,0.0,Parkinsons,571
Video_Swin_Fused_066,0.0,Parkinsons,572
Video_Swin_Fused_067,0.0,Parkinsons,573
Video_Swin_Fused_068,0.0,Parkinsons,574
Video_Swin_Fused_069,0.0,Parkinsons,575
Video_Swin_Fused_070,0.0,Parkinsons,576
Video_Swin_Fused_071,0.0,Parkinsons,577
Video_Swin_Fused_060,0.0,Parkinsons,578
Video_Swin_Fused_318,0.0,Parkinsons,579
Video_Swin_Fused_319,0.0,Parkinsons,580
Video_Swin_Fused_320,0.0,Parkinsons,581
Video_Swin_Fused_321,0.0,Parkinsons,582
Video_Swin_Fused_322,0.0,Parkinsons,583
Video_Swin_Fused_323,0.0,Parkinsons,584
Video_Swin_Fused_324,0.0,Parkinsons,585
Video_Swin_Fused_325,0.0,Parkinsons,586
Video_Swin_Fused_326,0.0,Parkinsons,587
Video_Swin_Fused_327,0.0,Parkinsons,588
Video_Swin_Fused_192,0.0,Parkinsons,589
Video_Swin_Fused_329,0.0,Parkinsons,590
Video_Swin_Fused_330,0.0,Parkinsons,591
